input_url,final_url,status_code,category,note
https://www.linkedin.com/company/canovaspa/,https://www.linkedin.com/company/canovaspa/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/capital-dynamics/,https://www.linkedin.com/company/capital-dynamics/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/capza/,https://www.linkedin.com/company/capza/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/the-carlyle-group/,https://www.linkedin.com/company/the-carlyle-group/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cdp-cassa-depositi-e-prestiti/,https://www.linkedin.com/company/cdp-cassa-depositi-e-prestiti/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cdp-cassa-depositi-e-prestiti/,https://www.linkedin.com/company/cdp-cassa-depositi-e-prestiti/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cdp-venture-capital-sgr/,https://www.linkedin.com/company/cdp-venture-capital-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/charme-capital-partners-limited/,https://www.linkedin.com/company/charme-capital-partners-limited/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cinven/,https://www.linkedin.com/company/cinven/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/clarisventures/,https://www.linkedin.com/company/clarisventures/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/clessidra-group/,https://www.linkedin.com/company/clessidra-group/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/como-venture/,https://www.linkedin.com/company/como-venture/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/consilium-sgr/,https://www.linkedin.com/company/consilium-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cooperare-spa/,https://www.linkedin.com/company/cooperare-spa/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/cvc-capital-partners/,https://www.linkedin.com/company/cvc-capital-partners/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/deutsche-beteiligungs-ag/,https://www.linkedin.com/company/deutsche-beteiligungs-ag/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/dea-capital-alternative-funds-sgr/,https://www.linkedin.com/company/dea-capital-alternative-funds-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/deep-ocean-capital-sgr-s-p-a/,https://www.linkedin.com/company/deep-ocean-capital-sgr-s-p-a/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/doorway-platform/,https://www.linkedin.com/company/doorway-platform/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eiffel-investment-group/,https://www.linkedin.com/company/eiffel-investment-group/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/entangled-capital-sgr/,https://www.linkedin.com/company/entangled-capital-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/entrust-global/,https://au.linkedin.com/company/datahash-com-au,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eos-investment-management-ltd/,https://www.linkedin.com/company/eos-investment-management-ltd/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eqt-group/,https://www.linkedin.com/company/eqt-group/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/equinox-holdings/,https://www.linkedin.com/company/equinox-holdings/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/equita/,https://www.linkedin.com/company/equita/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/equiter-spa/,https://www.linkedin.com/company/equiter-spa/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/equiter-sgr/,https://www.linkedin.com/company/equiter-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eurazeo/,https://www.linkedin.com/company/eurazeo/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eureka-venture/,https://www.linkedin.com/company/eureka-venture/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/eurizon/,https://www.linkedin.com/company/eurizon/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/excellis-holding-s-r-l/,https://www.linkedin.com/company/excellis-holding-s-r-l/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/f-p-equity-partners-srl/,https://www.linkedin.com/company/f-p-equity-partners-srl/,404,NOT_FOUND,Looks like a 404 / not found
https://www.linkedin.com/company/f2i-sgr/,https://www.linkedin.com/company/f2i-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/faro-value/,https://www.linkedin.com/company/faro-value/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fondo-italiano-per-l-efficienza-energetica/,https://www.linkedin.com/company/fondo-italiano-per-l-efficienza-energetica/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fineurop-soditic/,https://www.linkedin.com/company/fineurop-soditic/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/finintinvestments/,https://www.linkedin.com/company/finintinvestments/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/finlombarda-s-p-a-/,https://www.linkedin.com/company/finlombarda-s-p-a-/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/finsea/,https://www.linkedin.com/company/finsea/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fondo-italiano-d'investimento-sgr/,https://www.linkedin.com/company/fondo-italiano-d'investimento-sgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/finanziaria-regionale-friuli-venezia-giulia---societa-per-azioni---friulia---s.p.a./,https://www.linkedin.com/company/finanziaria-regionale-friuli-venezia-giulia---societa-per-azioni---friulia---s.p.a./,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fondofsi/,https://www.linkedin.com/company/fondofsi/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/furstenbergsgr/,https://www.linkedin.com/company/furstenbergsgr/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fvgpluspa/,https://www.linkedin.com/company/fvgpluspa/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/fvs-sgr-spa/,https://www.linkedin.com/company/fvs-sgr-spa/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/generali-investments/,https://www.linkedin.com/company/generali-investments/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/gepafin-s-p-a/,https://www.linkedin.com/company/gepafin-s-p-a/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/gradiente-sgr-s-p-a-/,https://www.linkedin.com/company/gradiente-sgr-s-p-a-/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/green-arrow-capital/,https://www.linkedin.com/company/green-arrow-capital/,200,ACTIVE,Company page reachable (may still require cookies for full content)
https://www.linkedin.com/company/h-i-g--capital/,https://www.linkedin.com/company/h-i-g--capital/,200,ACTIVE,Company page reachable (may still require cookies for full content)
